Day,Old Testament,Psalms,Proverbs,New Testament
1,gen 1-3,Ps 1; 2,Pr 1:1-5,Mt 1
2,gen 4-7,Ps 3; 4,Pr 1:6-10,Mt 2
3,gen 8:1-11:9,Ps 5,Pr 1:11-15,Mt 3
4,gen 11:10-15:21,Ps 6,Pr 1:16-19,Mt 4
5,gen 16-18,Ps 7,Pr 1:20-24,Mt 5:1-20
6,gen 19-21,Ps 8,Pr 1:25-29,Mt 5:21-48
7,gen 22-24:49,Ps 9:1-17,Pr 1:30-35,Mt 6:1-18
8,gen 24:50-26:35,Ps 9:18-39,Pr 2:1-5,Mt 6:19-34
9,gen 27; 28,Ps 10; 11,Pr 2:6-9,Mt 7
10,gen 29; 30,Ps 12; 13,Pr 2:10-16,Mt 8:1-17
11,gen 31; 32,Ps 14; 15,Pr 2:17-23,Mt 8:18-34
12,gen 33-35,Ps 16,Pr 3:1-5,Mt 9:1-17
13,gen 36; 37,Ps 17:1-17,Pr 3:6-10,Mt 9:18-38
14,gen 38-40,Ps 17:18-32,Pr 3:11-16,Mt 10:1-23
15,gen 41; 42,Ps 17:33-51,Pr 3:17-22,Mt 10:24-42
16,gen 43-45,Ps 18,Pr 3:23-27,Mt 11
17,gen 46-48,Ps 19,Pr 3:28-32,Mt 12:1-21
18,gen 49; 50,Ps 20,Pr 3:33-38,Mt 12:22-50
19,exo 1-3,Ps 21:1-19,Pr 4:1-8,Mt 13:1-30
20,exo 4:1-6:27,Ps 21:20-32,Pr 4:9-12,Mt 13:31-58
21,exo 6:28-9:35,Ps 22; 23,Pr 4:13-18,Mt 14:1-21
22,exo 10-12,Ps 24:1-11,Pr 4:19-23,Mt 14:22-36
23,exo 13-15,Ps 24:12-22,Pr 4:24-28,Mt 15:1-20
25,exo 19-21,Ps 26,Pr 5:7-14,Mt 16
26,exo 22-24,Ps 27,Pr 5:15-19,Mt 17
27,exo 25-27,Ps 28,Pr 5:20-23,Mt 18:1-20
28,exo 28; 29,Ps 29,Pr 6:1-6,Mt 18:21-35
29,exo 30-32,Ps 30:1-14,Pr 6:7-12,Mt 19
30,exo 33; 34,Ps 30:15-25,Pr 6:13-16,Mt 20:1-16
31,exo 35-37,Ps 31,Pr 6:17-19,Mt 20:17-34
32,exo 38-40,Ps 32:1-12,Pr 6:20-25,Mt 21:1-22
33,lev 1-4,Ps 32:13-22,Pr 6:26-31,Mt 21:23-46
34,lev 5:1-7:10,Ps 33:1-11,Pr 6:32-36,Mt 22:1-22
35,lev 7:11-9:24,Ps 33:12-23,Pr 6:37-40,Mt 22:23-46
36,lev 10-12,Ps 34:1-16,Pr 7:1-6,Mt 23:1-22
37,lev 13,Ps 34:17-28,Pr 7:7-12,Mt 23:23-39
38,lev 14; 15,Ps 35,Pr 7:13-20,Mt 24:1-28
39,lev 16-18,Ps 36:1-20,Pr 7:21-24,Mt 24:29-51
40,lev 19-21,Ps 36:21-40,Pr 7:25-27,Mt 25:1-30
41,lev 22; 23,Ps 37:1-11,Pr 8:1-5,Mt 25:31-46
42,lev 24; 25,Ps 37:12-23,Pr 8:6-10,Mt 26:1-25
43,lev 26; 27,Ps 38,Pr 8:11-16,Mt 26:26-46
44,num 1; 2,Ps 39,Pr 8:17-21,Mt 26:47-75
45,num 3:1-4:33,Ps 40,Pr 8:22-26,Mt 27:1-26
46,num 4:34-6:26,Ps 41; 42,Pr 8:27-31,Mt 27:27-44
47,num 7:1-8:4,Ps 43:1-9,Pr 8:32-35,Mt 27:45-66
